City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
渭南,420,64,519,0.88,25,95,70,14
石嘴山,353,116,461,0.65,19,96,64,31
巴彦淖尔,237,82,375,0.5,14,86,81,4
银川,213,86,358,0.57,17,93,71,32
吴忠,196,67,339,0.2,6,75,68,6
黄南州,176,85,299,1.2,11,92,83,10
乌海,174,72,295,0.43,7,97,93,5
甘南州,173,82,294,0.2,16,57,58,4
那曲地区,166,96,280,0.8,6,71,45,4
营口,163,123,173,2.68,53,108,45,60
阿拉善盟,160,67,268,0.47,10,96,88,8
阿克苏地区,157,51,262,0.75,25,66,54,9
赣州,156,118,153,2.0,64,62,35,41
酒泉,155,55,258,0.5,21,94,54,15
果洛州,150,61,247,0.4,13,107,83,26
白银,150,60,247,0.7,8,85,74,5
海东地区,149,84,246,1.4,31,65,84,8
绥化,149,114,220,0.65,15,127,91,6
四平,148,113,158,0.77,27,132,66,21
鄂尔多斯,147,86,241,0.94,18,132,117,15
固原,146,68,239,0.63,24,85,89,9
济南,138,72,224,1.33,73,65,21,34
鞍山,137,104,165,2.24,65,95,55,43
库尔勒,136,56,219,0.3,17,61,71,5
喀什地区,136,71,220,0.7,18,88,67,6
包头,135,78,218,1.1,22,112,99,15
西安,134,75,216,1.33,41,102,77,18
太原,134,90,216,1.2,39,124,66,25
长治,132,100,186,1.35,24,179,66,15
章丘,132,70,211,2.25,74,74,24,45
和田地区,130,39,208,0.8,11,88,73,30
朔州,130,55,208,0.98,23,139,109,18
兰州,129,57,206,0.58,27,72,70,6
齐齐哈尔,126,95,134,1.16,27,152,71,11
咸阳,126,94,199,1.13,27,114,88,17
吉安,126,95,149,1.43,35,55,22,70
池州,125,94,144,1.17,47,43,18,27
乌兰察布,124,55,195,0.45,27,134,103,29
自贡,124,93,132,1.2,51,33,26,19
安庆,124,93,108,0.83,30,69,57,8
中卫,122,46,191,0.67,4,110,94,8
呼和浩特,119,70,186,1.13,24,112,74,24
三门峡,117,59,182,0.93,27,112,84,23
武汉,116,87,144,1.45,42,126,61,15
铜陵,116,87,139,1.47,44,32,24,16
随州,115,86,142,1.13,15,117,87,8
六安,115,86,127,0.7,36,62,55,5
阜阳,115,86,105,0.7,12,87,89,4
张掖,114,65,175,0.6,29,65,34,12
荆门,114,74,175,0.96,31,71,66,12
